Trade Date,Previous Close,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Call Gamma,Put Gamma,Call Delta,Put Delta,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5d % DPI Volume
3/9/26,24.35,25,25,22,25,5,'-143025653,'-46808525,'-1113554262,278874719,0.2391,0.0658,3/20/26,1/15/27,119745,27815,0.5395,0.4552,0.6651,4.3051,3.0555,'-3.993,0.09656824,0.10049153,0.2335,0.5493,0.2294,0.0191,0.0843,0.844250142,65.84,0.2601,
3/6/26,23.88,24,25,23,25,23,'-186499939,'-61330446,'-1075724602,291714707,0.388,0.0694,3/6/26,1/15/27,121057,22376,0.4675,0.4624,0.6226,5.4101,3.0409,'-3.6876,0.03505238,0.10222467,0.2329,0.5439,0.2234,0,0.0843,0.819815187,60.63,0.5065,
3/5/26,23.87,25,25,23,25,23,'-175353358,'-55837696,'-1079980274,291037478,0.3803,0.0815,3/6/26,1/15/27,75647,8176,0.4358,0.5522,0.6305,9.2523,3.1404,'-3.7108,0.0436053,0.1857794,0.2923,0.5485,0.2285,0,0.3253,0.826402512,48.88,0.4569,
3/4/26,23.85,25,25,23,25,23,'-159802290,'-53172724,'-1082723183,290679752,0.3493,0.0846,3/6/26,1/15/27,87975,18654,0.4041,0.4833,0.6379,4.7161,3.0053,'-3.7248,0.08053411,0.15832279,0.2994,0.5533,0.2339,0.0038,0.2048,0.832935997,44.81,0.518,
3/3/26,24.19,25,25,23,25,5,'-152696424,'-46956295,'-1102219138,284163354,0.328,0.0882,3/6/26,1/15/27,116750,27611,0.5464,0.5065,0.64,4.2284,3.2519,'-3.8788,0.04226268,0.14725119,0.3051,0.5657,0.2478,0,0.1687,0.863743167,49.48,0.4454,
3/2/26,24.05,25,25,22.5,25,5,'-145903222,'-40768848,'-1107172137,267408369,0.3094,0.0983,3/6/26,1/15/27,106514,15289,0.6441,0.4278,0.6425,6.9667,3.5788,'-4.1404,0.14258189,0.16841004,0.4556,0.5736,0.2567,0,0.241,0.870736603,49.01,0.2102,
2/27/26,24.09,25,25,22.5,25,22.5,'-226141153,'-53177729,'-1217057145,272752797,0.4504,0.1365,2/27/26,1/15/27,104333,26066,0.508,0.633,0.609,4.0026,4.2526,'-4.4621,'-0.03749178,0.0537133,0.4641,0.579,0.2627,0.0097,0.0321,0.880395758,47.82,0.4212,
2/26/26,24.22,25,25,22.5,25,22.5,'-195322049,'-49295406,'-1207135963,273808851,0.4088,0.1306,2/27/26,1/15/27,96424,17603,0.4053,0.485,0.6131,5.4777,3.9623,'-4.4087,0.01833477,0.1874793,0.4646,0.6038,0.2905,0.0221,0.3173,0.923059774,55.4,0.4667,
2/25/26,23.77,25,25,22.5,25,22.5,'-173127257,'-48600290,'-1099396656,291343072,0.379,0.1024,2/27/26,1/15/27,116275,25578,0.4971,0.4307,0.6185,4.5459,3.5623,'-3.7735,0.06077117,0.17195572,0.4718,0.542,0.2213,0.0114,0.2369,0.813188159,52.06,0.5266,
2/24/26,23.64,25,25,22.5,25,22.5,'-156488241,'-44960783,'-1084569071,283226170,0.3517,0.0988,2/27/26,1/15/27,135137,23720,0.4523,0.5105,0.6237,5.6972,3.4805,'-3.8293,0.15551386,0.14883303,0.4842,0.557,0.2381,0.022,0.1647,0.831122893,57.68,0.5517,
2/23/26,23.43,25,25,18,25,5,'-141462441,'-41751368,'-1020418625,280413768,0.3227,0.0816,2/27/26,1/15/27,102020,18771,0.6007,0.4149,0.6409,5.435,3.3882,'-3.639,0.13745308,0.18179867,0.532,0.4659,0.136,0.0328,0.2851,0.689013255,58.57,0.4536,
2/20/26,23.91,24,25,22.5,24,22,'-201000646,'-55883210,'-1173899615,284624806,0.4395,0.1248,2/20/26,1/15/27,98512,30757,0.4035,0.6441,0.5952,3.2029,3.5968,'-4.1244,0.02897351,0.16481519,0.5309,0.4951,0.1687,0.0304,0.2169,0.747196932,66.27,0.5045,
2/19/26,23.87,25,25,22.5,25,22,'-177625380,'-50994996,'-1169039452,282199288,0.4206,0.1359,2/20/26,1/15/27,136287,24865,0.3978,0.5756,0.6031,5.4811,3.4832,'-4.1426,'-0.00333595,0.15982107,0.5444,0.4918,0.165,0.0513,0.2048,0.740974942,60.53,0.4794,
2/18/26,23.26,25,25,18,25,5,'-150844016,'-50345642,'-1032380728,302846812,0.3841,0.0974,2/20/26,1/15/27,118811,24309,0.4435,0.6648,0.6118,4.8875,2.9962,'-3.4089,'-0.03487635,0.14340215,0.5542,0.4456,0.1133,0.032,0.1526,0.65421044,45.32,0.4869,
2/17/26,23.58,25,25,18,25,5,'-144085537,'-44088225,'-1095675898,291450830,0.3863,0.1182,2/20/26,1/15/27,100034,14569,0.5374,0.7236,0.6142,6.8662,3.2681,'-3.7594,0.13356678,0.27393137,0.5276,0.4983,0.1723,0.0436,0.6466,0.741647037,53.8,0.5947,
2/13/26,23.51,25,25,18,25,5,'-164612972,'-58399665,'-1134800569,310275514,0.2511,0.0235,2/20/26,1/15/27,194182,24070,0.3605,0.3172,0.5823,8.0674,2.8187,'-3.6574,0.11242798,0.2506723,0.5281,0.5206,0.1973,0.0689,0.5422,0.772537146,46.76,0.5155,
2/12/26,24.19,25,25,18,25,23.5,'-173666994,'-52469725,'-1226286792,286733950,0.3053,0.0609,2/13/26,1/15/27,98796,21233,0.4164,0.4008,0.5887,4.6529,3.3099,'-4.2767,0.10552194,0.2753593,0.5138,0.4801,0.1519,0.0585,0.6506,0.733044184,41.69,0.5254,
2/11/26,24.8,25,25,18,25,5,'-172114987,'-43197144,'-1349671506,261995924,0.3014,0.0896,2/13/26,1/15/27,135891,19111,0.4801,0.5164,0.5945,7.1106,3.9844,'-5.1515,0.06655666,0.25330962,0.5138,0.5061,0.181,0.055,0.5582,0.792228745,45.41,0.5093,
2/10/26,24.63,25,25,18,25,5,'-159438849,'-41069043,'-1319641937,260239979,0.2884,0.09,2/13/26,1/15/27,116786,27816,0.4614,0.6071,0.6054,4.1985,3.8822,'-5.0709,0.11915125,0.15729438,0.5278,0.4997,0.1739,0.0818,0.1847,0.776848514,38.47,0.5498,
