Trade Date,Previous Close,Low Vol Point,High Vol Point,Call Gamma,Put Gamma,Call Delta,Put Delta,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move
2/24/2026,43.63,36,57.5,'-6731223.09242267,9294578.95721069,'-45618113.256164715,'-133402362.58189341,0.11460766120771702,0.02354926486964541,2026-06-17,2027-01-14,143334,85134,0.3303682308454379,0.2961096624145465,0.8542221619375044,0.7242095767232811,0.341958810723165,'-0.09083992459988323,'-0.024893190142643837,0.6239262339926585,0.5912285786591952,0.39829406766339864,0.04374179636319394,0.06584362139917696,1.6281829758821365
2/23/2026,44.11,33,57,'-8041490.120368152,7594757.07438744,'-40648552.87263474,'-115453966.45480573,0.10464407759552105,0.02231944900868079,2026-06-17,2027-01-14,187340,161075,0.2812319846268816,0.30717988514667083,0.8608607709608896,1.0588212422866392,0.35207584564490946,'-0.08194462298077633,'-0.007835278016790192,0.9530136872572865,0.5724751261731421,0.36256550105349117,0.0488566298733639,0.0732484076433121,1.5938823338696775
2/20/2026,44.62,36,59,'-9930178.60709002,14659509.423731405,'-16063786.775182962,'-126435437.76101416,0.20013852200577667,0.07644910538401435,2026-06-17,2027-01-14,171280,180018,0.41146076599719755,0.43758957437589574,0.8304032858134587,0.6773881935649666,0.12705130032883996,0.0342884308706441,0.014715337442249418,0.9614705551672608,0.5735758180992822,0.3646625093152674,0.06020872432500232,0.10223642172523961,1.6154107810130638
2/19/2026,45.46,35,59,'-7215463.365900398,9783550.224647991,'-32435460.706738576,'-67151598.8040911,0.16961278399401303,0.07303030883446586,2026-06-17,2027-01-14,213686,116802,0.471579794651966,0.4125956747315971,0.8327999510932216,0.7375097178652249,0.4830184431105831,0.01707166103812784,0.022825690255018925,0.9834337916106609,0.580390204320244,0.37764509223872317,0.05622185942065792,0.10576923076923078,1.6653751618000565
2/18/2026,46.18,34,57,'-10065338.80348108,7640170.938475343,'-59329434.70610674,'-41133308.05101875,0.2088114894095184,0.08519805115210252,2026-06-17,2027-01-14,150487,101362,0.4733764378318393,0.4499516584124228,0.8334460648908444,1.3174232467486777,1.4423696395271404,'-0.046446926929083934,0.007064701437648813,1.0076010238081503,0.5962738377504812,0.40790615779140627,0.05995880249762135,0.11522633744855967,1.7380499796324698
2/17/2026,46.78,34,57,'-8949380.611850409,7073448.786810598,'-89419595.84002572,'-45807635.26216583,0.21266934902402346,0.0904646913152673,2026-06-17,2027-01-14,151744,93413,0.5248181147195277,0.45413379294102535,0.8341558199027126,1.2652075220418275,1.9520674954788722,'-0.08907265335582167,'-0.008666164295133371,0.9684226249014432,0.5779740623152175,0.373041924335118,0.08095980891229376,0.06774193548387097,1.7065976541757164
2/13/2026,46.48,42.5,62,'-10583801.981417388,13961028.947535114,'-91186489.76897511,'-97187173.08209778,0.13890805355360158,0.023241328764047536,2026-06-17,2027-01-14,256976,114763,0.330645663408256,0.4945670642977266,0.841793621711193,0.7580961275269047,0.9382564270281464,'-0.07082189458723916,'-0.018691368887124013,0.9979309739563827,0.6051297598908356,0.42477821931283133,0.1424692046180911,0.05501618122977346,1.7753223025769134
2/12/2026,48.23,35,63,'-10885905.54583735,9801629.451629503,'-153843245.53122562,'-63170096.85565827,0.12471925803297712,0.020369687201874334,2026-04-16,2027-01-14,349096,100983,0.3760398285858331,0.4279136092213541,0.8339347715413558,1.110622024588737,2.4353808714707643,'-0.013369484949883942,0.026124060152858963,0.9959358145244535,0.5804070952197172,0.3776772723200911,0.1436275734369036,0.11363636363636363,1.766902367130402
2/11/2026,47.14,35,62.5,'-12472950.503683904,11262159.040597329,'-144831347.23572788,'-77988230.04518607,0.1399630094622609,0.025706388181653998,2026-03-19,2027-01-14,382084,202487,0.26699364537640935,0.4017887568090791,0.8381231227544665,1.1075097109463619,1.8570923734493419,'-0.03176590200432375,'-0.006186969407649993,1.017893303927032,0.6156773538049658,0.4448732077964462,0.2265776560155346,0.06840390879478826,1.8319150702749536
2/10/2026,50.22,35,63,'-8547299.431690201,3382947.955904103,'-277636705.3058697,'-27650287.891139865,0.10761475433353422,0.020136182701463633,2026-03-19,2027-01-14,310373,130734,0.32611728468649015,0.5030672969541206,0.8228835144361443,2.5265831881253136,10.041005952593874,0.06307758873578516,0.06031823400323736,1.015919640888152,0.6182400703029675,0.4497556254296396,0.08577431610443433,0.264,1.9597308799226805
