Trade Date,Previous Close,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Call Gamma,Put Gamma,Call Delta,Put Delta,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5d % DPI Volume
2/24/2026,43.63,45,40,44,50,42,'-255982339,'-190990640,'-5888813587,2152114336,0.1171,0.0094,2026-03-20,2026-06-18,143334,85134,0.3304,0.2961,0.8626,1.6836,1.3403,'-2.7363,'-0.08975101,'-0.02731411,0.6022,0.5931,0.4017,0.0438,0.0683,1.6333366787,41.949999999999996,0.4867,
2/23/2026,44.11,45,40,44,50,44,'-244909369,'-176415323,'-6077810623,1986604284,0.1033,0.0026,2026-03-20,2026-06-18,187340,161075,0.2812,0.3072,0.8695,1.1631,1.3883,'-3.0594,'-0.0775113,'-0.01083537,0.8841,0.5722,0.3616,0.0489,0.0843,1.593116329,43.39,0.4664,
2/20/2026,44.62,45,40,44.5,50,44,'-405092750,'-320247138,'-7170266802,2615667466,0.4476,0.0844,2026-02-20,2026-06-18,171280,180018,0.4115,0.4376,0.8368,0.9515,1.2649,'-2.7413,0.05484078,0.01049501,0.9762,0.5717,0.3607,0.0602,0.1285,1.6101277536,46.89,0.397,
2/19/2026,45.46,45,40,46,50,44,'-395382760,'-290947650,'-7593888800,2463940551,0.4356,0.1122,2026-02-20,2026-06-18,213686,116802,0.4716,0.4126,0.8393,1.8295,1.3589,'-3.082,0.02316778,0.02262912,1.0001,0.5789,0.3745,0.0562,0.1406,1.6610991605,44.940000000000005,0.4382,
2/18/2026,46.18,45,40,46,50,44,'-386930758,'-258945146,'-8090316889,2204060754,0.4388,0.1458,2026-02-20,2026-06-18,150487,101362,0.4734,0.45,0.8401,1.4846,1.4943,'-3.6706,'-0.04215457,0.00084062,1.0264,0.5948,0.4049,0.06,0.1124,1.7337539607,44.72,0.4297,
2/17/2026,46.78,45,40,44.5,50,44,'-370192068,'-238646654,'-8407327806,2160531098,0.4175,0.1606,2026-02-20,2026-06-18,151744,93413,0.5248,0.4541,0.8408,1.6244,1.5512,'-3.8913,'-0.08599119,'-0.00846287,0.9862,0.579,0.3747,0.0809,0.0884,1.7096269646,44.09,0.2193,
2/13/2026,46.48,45,40,47,50,44,'-388058268,'-275760606,'-8273782826,2323706822,0.1347,0.012,2026-02-20,2026-06-18,256976,114763,0.3306,0.4946,0.8484,2.2392,1.4072,'-3.5606,'-0.07312253,'-0.01101974,0.992,0.608,0.4302,0.1425,0.0803,1.783742978,45.56,0.2183,
2/12/2026,48.23,50,40,47.5,50,35,'-381653025,'-230479057,'-9454490351,1880266390,0.1362,0.0105,2026-02-20,2026-02-20,349096,100983,0.376,0.4279,0.8404,3.457,1.6559,'-5.0283,'-0.01913119,0.03106126,1.0125,0.5795,0.3756,0.1437,0.1406,1.7641409455,46.31,0.2052,
2/11/2026,47.14,50,40,47.5,50,35,'-364999524,'-239741182,'-8696600622,2082258351,0.1148,0.0012,2026-02-20,2026-02-20,382084,202487,0.267,0.4018,0.8448,1.887,1.5225,'-4.1765,'-0.03093798,'-0.00389864,1.0366,0.6156,0.4448,0.2266,0.0964,1.8316849082,44.5,0.5853,
2/10/2026,50.22,50,50,39,50,35,'-344231472,'-172631488,'-10291676959,1565945055,0.0989,0.017,2026-02-20,2026-02-20,310373,130734,0.3261,0.5031,0.8293,2.3741,1.994,'-6.5722,0.06150128,0.06097364,1.0339,0.6183,0.45,0.0858,0.2811,1.9599208483,46.17,0.4449,
