Trade Date,Previous Close,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Call Gamma,Put Gamma,Call Delta,Put Delta,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5d % DPI Volume
3/9/26,43.43,45,50,43.5,50,35,'-266271554,'-190793797,'-6040832377,2273397818,0.0723,0.0006,3/20/26,6/18/26,191789,115391,0.3021,0.4016,0.8657,1.6621,1.3956,'-2.6572,'-0.19848771,'-0.07205408,0.5276,0.6509,0.5125,0.2062,0.0522,1.784295083,40.54,0.2291,
3/6/26,45.95,45,50,43,50,42,'-354524008,'-209298165,'-7140016322,2069382305,0.1893,0.0248,3/20/26,6/18/26,152460,115339,0.3141,0.4105,0.8469,1.3218,1.6939,'-3.4503,'-0.13192648,'-0.05384864,0.4954,0.6184,0.4502,0.1214,0.0602,1.793566875,46.1,0.4464,
3/5/26,45.58,45,50,43,50,42,'-336387500,'-193594241,'-7127207345,2019254271,0.169,0.0296,3/20/26,6/18/26,277115,116857,0.3585,0.3325,0.847,2.3714,1.7376,'-3.5296,'-0.06154684,'-0.03267974,0.4957,0.612,0.4379,0.225,0.0723,1.760711986,46.340000000000000,0.4546,
3/4/26,43.12,45,50,44,50,42,'-280054291,'-209711898,'-5930990364,2308814663,0.1242,0.0128,3/20/26,6/18/26,207910,111760,0.2753,0.2909,0.8566,1.8603,1.3354,'-2.5688,'-0.05601545,'-0.03374597,0.4591,0.5897,0.3952,0.173,0.0683,1.604990469,42.700000000000000,0.4584,
3/3/26,45.49,45,50,44.5,50,35,'-289447485,'-181612969,'-6901650440,1998512336,0.1271,0.0103,3/20/26,6/18/26,155888,97081,0.3052,0.3692,0.8592,1.6058,1.5938,'-3.4534,'-0.13588464,'-0.02479472,0.4355,0.6211,0.4553,0.0449,0.0803,1.783364199,47.92,0.0946,
3/2/26,45.61,45,50,44,50,35,'-281735531,'-175399105,'-6821257006,1987504420,0.1097,0.0119,3/20/26,6/18/26,173444,62620,0.3529,0.3066,0.8602,2.7698,1.6063,'-3.4321,'-0.03489566,0.00349011,0.4776,0.6017,0.4182,0.0653,0.1365,1.732218456,38.16,0.1005,
2/27/26,45.48,45,50,44.5,50,44,'-325772317,'-211498343,'-6948258121,2026101407,0.1834,0.0128,3/20/26,6/18/26,180754,133442,0.2982,0.3811,0.8502,1.3546,1.5403,'-3.4294,'-0.07091588,'-0.05026543,0.6052,0.6028,0.4203,0.1127,0.0602,1.730438932,44.9,0.1219,
2/26/26,46.9,50,50,44,50,44,'-312044063,'-179853628,'-7503135394,1862603223,0.1586,0.0259,3/20/26,6/18/26,195485,114726,0.3844,0.3244,0.8519,1.7039,1.735,'-4.0283,'-0.02375144,0.04191812,0.6027,0.6131,0.44,0.1146,0.2088,1.814958657,49.830000000000000,0.1098,
2/25/26,46.12,45,50,44,50,44,'-283292182,'-167620313,'-7317676708,1806446111,0.1345,0.023,3/20/26,6/18/26,308952,127757,0.3057,0.3417,0.8487,2.4183,1.6901,'-4.0509,'-0.06184611,'-0.02732412,0.6167,0.6368,0.4854,0.1903,0.0683,1.85376608,50.06,0.4841,
2/24/26,43.63,45,40,44,50,42,'-255982339,'-190990640,'-5888813587,2152114336,0.1171,0.0094,3/20/26,6/18/26,143334,85134,0.3304,0.2961,0.8626,1.6836,1.3403,'-2.7363,'-0.08975101,'-0.02731411,0.6022,0.5931,0.4017,0.0438,0.0683,1.633336679,41.950000000000000,0.4867,
