Trade Date,Previous Close,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Call Gamma,Put Gamma,Call Delta,Put Delta,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5d % DPI Volume
2/24/2026,130.6,130,35,130,139,120,'-154196509,'-183420529,'-7955435275,8049320090,0.2198,1.3906,2026-02-27,2027-01-15,260954,282622,0.4916,0.5177,1.0837,0.9233,0.8407,'-0.9883,'-0.15698014,'-0.12888418,0.7196,0.5664,0.2359,0.0652,0.0281,4.6690551032,43.4,0.5338,
2/23/2026,135.24,140,35,136,139,130,'-159652160,'-164969928,'-8434180064,7264165778,0.2224,0.1193,2026-02-27,2027-01-15,206416,155168,0.5936,0.4897,1.084,1.3303,0.9678,'-1.1611,'-0.1359166,'-0.11428017,0.6899,0.5154,0.1611,0,0.0482,4.3995894717,42.089999999999996,0.5029,
2/20/2026,134.91,135,35,132,136,130,'-263227994,'-241894627,'-9147206746,8615874155,0.4359,0.726,2026-02-20,2027-01-15,257881,511712,0.5998,0.7709,1.0072,0.504,1.0882,'-1.0617,'-0.09534207,'-0.09201753,0.6893,0.5249,0.175,0.0046,0.1285,4.4697506154,41,0.5799,
2/19/2026,135.38,135,35,130,150,130,'-232760395,'-218944631,'-9330633704,8638029834,0.3962,0.6397,2026-02-20,2027-01-15,402498,338062,0.5846,0.5575,1.0199,1.1906,1.0631,'-1.0802,'-0.10668013,'-0.07650273,0.7067,0.5307,0.1835,0.0281,0.2169,4.5348839235,43.87,0.5274,
2/18/2026,133.02,135,35,130,150,120,'-202151799,'-203056322,'-8527256491,8946396772,0.3846,1.8671,2026-02-20,2027-01-15,267690,292269,0.6006,0.5924,1.022,0.9159,0.9955,'-0.9531,'-0.11096878,'-0.09140768,0.7177,0.547,0.2075,0.0456,0.1285,4.5926869911,38.04,0.4931,
2/17/2026,131.43,130,35,130,150,120,'-167713397,'-192151285,'-8035340345,9220213571,0.3419,0.9228,2026-02-20,2027-01-15,217878,271050,0.5911,0.5477,1.0383,0.8038,0.8728,'-0.8715,'-0.11033547,'-0.09435337,0.6796,0.549,0.2104,0.0916,0.1084,4.5543817459,37.56,0.4732,
2/13/2026,129.1,130,35,130,133,130,'-184305893,'-230957535,'-7764491632,9779995519,0.2254,0.1461,2026-02-20,2027-01-15,438386,1060188,0.4605,0.4301,0.9822,0.4135,0.798,'-0.7939,'-0.11364621,'-0.09324009,0.6709,0.5577,0.2232,0.1823,0.1165,4.5445351259,40.08,0.5808,
2/12/2026,135.67,140,35,135,150,130,'-195085667,'-220690916,'-8561343343,9419898093,0.2643,0.1756,2026-02-13,2027-01-15,263654,368399,0.5151,0.4357,1.0106,0.7157,0.884,'-0.9089,'-0.09745293,'-0.08537968,0.6605,0.5294,0.1816,0.1913,0.1446,4.5334657577,39.06,0.5641,
2/11/2026,139.49,150,35,140,150,130,'-203529795,'-210734680,'-9401346255,9019336158,0.2594,0.3063,2026-02-13,2027-01-15,262555,287031,0.4816,0.5452,1.0157,0.9147,0.9658,'-1.0424,'-0.12461613,'-0.08269672,0.6755,0.5236,0.1731,0.2452,0.1606,4.6100463296,46.51,0.7277,
2/10/2026,142.91,150,35,140,150,130,'-203625128,'-192806982,'-10141250992,8366835388,0.2372,0.2814,2026-02-20,2027-01-15,470888,245383,0.4613,0.4645,1.0122,1.919,1.0561,'-1.2121,'-0.08266399,'-0.06843738,0.6926,0.5158,0.1617,0.3059,0.241,4.6527158998,48.03,0.7124,
