Trade Date,Previous Close,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Call Gamma,Put Gamma,Call Delta,Put Delta,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5d % DPI Volume
3/9/26,157.17,150,150,148,160,130,'-203847869,'-142039321,'-14543041666,5536572228,0.1964,0.0779,3/20/26,3/20/26,353329,299634,0.4499,0.4615,1.0975,1.1792,1.4352,'-2.6267,'-0.15053948,'-0.12401394,0.5317,0.5451,0.2047,0.042,0.0442,5.407647983,49.8,0.2592,
3/6/26,152.67,150,150,140,160,130,'-269011184,'-177859012,'-14303182775,6210219466,0.2517,0.1932,3/6/26,3/6/26,389455,246671,0.5926,0.4355,1.0592,1.5788,1.5125,'-2.3032,'-0.11560784,'-0.11296509,0.6868,0.5214,0.1699,0.0346,0.0683,5.024435902,44.15,0.5249,
3/5/26,153.19,150,150,135,160,130,'-248963714,'-162574174,'-14616019878,5946703053,0.2319,0.1943,3/6/26,3/6/26,441428,272712,0.4749,0.3725,1.0741,1.6187,1.5314,'-2.4578,'-0.12303881,'-0.10277202,0.7257,0.5303,0.1829,0.0868,0.1044,5.127605693,48.13,0.4845,
3/4/26,147.29,150,35,135,150,130,'-234461283,'-170588434,'-12573596045,6502196866,0.2689,0.1952,3/6/26,3/6/26,329041,254384,0.572,0.4375,1.0758,1.2935,1.3744,'-1.9337,'-0.11190949,'-0.11157703,0.7313,0.5485,0.2097,0.0631,0.0723,5.099322414,50.76,0.5792,
3/3/26,145.11,150,35,135,150,130,'-223996600,'-170463258,'-11751181741,6700808851,0.265,0.1804,3/6/26,1/15/27,495174,306237,0.5609,0.4332,1.0661,1.617,1.314,'-1.7537,'-0.10031546,'-0.0924614,0.7491,0.5505,0.2126,0.139,0.1526,5.042167203,48.99,0.0921,
3/2/26,137.21,140,35,135,139,120,'-182560671,'-172506042,'-9270320522,7488579804,0.2167,0.156,3/6/26,1/15/27,218790,186491,0.5978,0.4203,1.071,1.1732,1.0583,'-1.2379,'-0.13392688,'-0.12460064,0.6979,0.5321,0.1856,0.0117,0.0402,4.608309096,40.99,0.0867,
2/27/26,135.94,140,35,130,139,130,'-252105349,'-202660539,'-9458323748,7462362882,0.3259,0.1824,2/27/26,1/15/27,301580,344929,0.5582,0.4685,1.0451,0.8743,1.244,'-1.2675,'-0.09166226,'-0.11113193,0.7122,0.5336,0.1878,0.0365,0.0683,4.578525784,43.42,0.0773,
2/26/26,134.19,130,35,130,139,130,'-207258184,'-196273767,'-8943558550,7831721895,0.2838,0.1302,2/27/26,1/15/27,312440,232207,0.5182,0.5064,1.0525,1.3455,1.056,'-1.142,'-0.13816729,'-0.10595668,0.7076,0.554,0.2177,0.0829,0.0803,4.692372657,43.46,0.1045,
2/25/26,128.84,130,35,130,150,120,'-157895697,'-192437140,'-7778388316,8260971365,0.227,0.4196,2/27/26,1/15/27,239920,192843,0.5296,0.4747,1.0583,1.2441,0.8205,'-0.9416,'-0.14517519,'-0.12855619,0.7004,0.5624,0.2301,0.0363,0.0321,4.573604494,39.38,0.532,
2/24/26,130.6,130,35,130,139,120,'-154196509,'-183420529,'-7955435275,8049320090,0.2198,1.3906,2/27/26,1/15/27,260954,282622,0.4916,0.5177,1.0837,0.9233,0.8407,'-0.9883,'-0.15698014,'-0.12888418,0.7196,0.5664,0.2359,0.0652,0.0281,4.669055103,43.4,0.5338,
2/23/26,135.24,140,35,136,139,130,'-159652160,'-164969928,'-8434180064,7264165778,0.2224,0.1193,2/27/26,1/15/27,206416,155168,0.5936,0.4897,1.084,1.3303,0.9678,'-1.1611,'-0.1359166,'-0.11428017,0.6899,0.5154,0.1611,0,0.0482,4.399589472,42.09,0.5029,
2/20/26,134.91,135,35,132,136,130,'-263227994,'-241894627,'-9147206746,8615874155,0.4359,0.726,2/20/26,1/15/27,257881,511712,0.5998,0.7709,1.0072,0.504,1.0882,'-1.0617,'-0.09534207,'-0.09201753,0.6893,0.5249,0.175,0.0046,0.1285,4.469750615,41,0.5799,
2/19/26,135.38,135,35,130,150,130,'-232760395,'-218944631,'-9330633704,8638029834,0.3962,0.6397,2/20/26,1/15/27,402498,338062,0.5846,0.5575,1.0199,1.1906,1.0631,'-1.0802,'-0.10668013,'-0.07650273,0.7067,0.5307,0.1835,0.0281,0.2169,4.534883924,43.87,0.5274,
2/18/26,133.02,135,35,130,150,120,'-202151799,'-203056322,'-8527256491,8946396772,0.3846,1.8671,2/20/26,1/15/27,267690,292269,0.6006,0.5924,1.022,0.9159,0.9955,'-0.9531,'-0.11096878,'-0.09140768,0.7177,0.547,0.2075,0.0456,0.1285,4.592686991,38.04,0.4931,
2/17/26,131.43,130,35,130,150,120,'-167713397,'-192151285,'-8035340345,9220213571,0.3419,0.9228,2/20/26,1/15/27,217878,271050,0.5911,0.5477,1.0383,0.8038,0.8728,'-0.8715,'-0.11033547,'-0.09435337,0.6796,0.549,0.2104,0.0916,0.1084,4.554381746,37.56,0.4732,
2/13/26,129.1,130,35,130,133,130,'-184305893,'-230957535,'-7764491632,9779995519,0.2254,0.1461,2/20/26,1/15/27,438386,1060188,0.4605,0.4301,0.9822,0.4135,0.798,'-0.7939,'-0.11364621,'-0.09324009,0.6709,0.5577,0.2232,0.1823,0.1165,4.544535126,40.08,0.5808,
2/12/26,135.67,140,35,135,150,130,'-195085667,'-220690916,'-8561343343,9419898093,0.2643,0.1756,2/13/26,1/15/27,263654,368399,0.5151,0.4357,1.0106,0.7157,0.884,'-0.9089,'-0.09745293,'-0.08537968,0.6605,0.5294,0.1816,0.1913,0.1446,4.533465758,39.06,0.5641,
2/11/26,139.49,150,35,140,150,130,'-203529795,'-210734680,'-9401346255,9019336158,0.2594,0.3063,2/13/26,1/15/27,262555,287031,0.4816,0.5452,1.0157,0.9147,0.9658,'-1.0424,'-0.12461613,'-0.08269672,0.6755,0.5236,0.1731,0.2452,0.1606,4.61004633,46.51,0.7277,
2/10/26,142.91,150,35,140,150,130,'-203625128,'-192806982,'-10141250992,8366835388,0.2372,0.2814,2/20/26,1/15/27,470888,245383,0.4613,0.4645,1.0122,1.919,1.0561,'-1.2121,'-0.08266399,'-0.06843738,0.6926,0.5158,0.1617,0.3059,0.241,4.6527159,48.03,0.7124,
