Trade Date,Previous Close,Low Vol Point,High Vol Point,Call Gamma,Put Gamma,Call Delta,Put Delta,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move
2/24/2026,117.28,122,85,7006723.498771556,6170401.631397181,67256822.41820571,'-113002900.36154804,0.1065497656675295,0.034933784010244155,2026-06-17,2026-06-17,22985,18352,0.3590602566891451,0.3849171752397559,0.7458486761148568,1.1355376711815441,0.5951778423652874,'-0.12279196686663547,'-0.07854168013540018,0.8199145532469908,0.6252147198527811,0.3759757793200144,0.4366774529477324,0.1440329218106996,4.628238486671348
2/23/2026,126.2,125,88,8994638.040255722,3375822.7050796496,113764171.59734373,'-79078403.36615986,0.09436940975698922,0.03823483519630865,2026-06-17,2026-06-17,31771,15458,0.4073840924113185,0.34538750161728554,0.7383054784674191,2.664428444871041,1.4386250449516158,'-0.08340315553837595,'-0.05569706446353202,0.7559329682197854,0.5460301523507145,0.3169087670828354,0.22639873467538166,0.21019108280254778,4.349492219065844
2/20/2026,123.85,131,88,8257336.1417154,5157958.829566746,68622232.4731551,'-119940450.89845899,0.21389961376342193,0.19042251709924737,2026-06-17,2026-06-17,32271,38392,0.17851941371510024,0.679724942696395,0.7154937013951445,1.6008922161964974,0.5721358554108684,'-0.04194703926582521,'-0.037591175097655284,0.7851222942943716,0.5640094613234089,0.3421314177992988,0.3157314426054188,0.3130990415335463,4.409049535119876
2/19/2026,121.64,137,85,6100957.682735824,5042718.747906741,41365477.35964217,'-84124315.72503419,0.2031166538938195,0.19707770683961692,2026-06-17,2026-06-17,56749,32537,0.4176285044670391,0.5210683222177829,0.7364086878520065,1.2098548397664184,0.49171844077576726,'-0.09315143545677838,'-0.056198368986602916,0.7978743905609764,0.5611074772490398,0.3380603085701445,0.4714356469916877,0.20192307692307693,4.308092755953619
2/18/2026,113.54,100,121,'-2353872.6585207186,8481496.21078024,'-42831663.01697866,'-136402453.1791303,0.14279922114803015,0.19917124305614708,2026-02-19,2026-06-17,25806,20849,0.513446485313493,0.5880857595088493,0.7204360659574045,0.2775303554965779,0.3140094772396069,'-0.05533929055294784,'-0.045814277130014736,0.7614291756201823,0.6091006629615408,0.351314030882454,0.19943196798556267,0.3168724279835391,4.365163748826191
2/17/2026,112.67,100,121,'-2028221.7485346377,8906382.070887618,'-42229688.46495879,'-147446919.1813508,0.14019738557471115,0.19826836991249427,2026-02-19,2026-04-16,22982,24580,0.5079627534592289,0.5870626525630595,0.7294545944852693,0.2277267842757731,0.2864060415736379,'-0.023475158705194482,'-0.017861349985135055,0.7386619845935752,0.5895534241691107,0.37796630187353925,0.4185828419724174,0.49032258064516127,4.192702411231061
2/13/2026,110.63,145,121,'-4556511.052529108,10112242.809772164,'-52222015.827433966,'-152013666.94617164,0.1448061725372723,0.05770672896249289,2026-02-19,2026-04-16,182799,118323,0.13831585511955755,0.3186024695114221,0.701164190455175,0.450593517011462,0.3435350049540341,'-0.09779281934361858,'-0.10348003830185998,0.7296488783514368,0.6571525426181579,0.47279914311179944,0.6412921555452056,0.05825242718446602,4.588826976573049
2/12/2026,118.81,100,122,'-2762774.333975764,8156765.280945252,35316410.60078726,'-106609731.17400059,0.28960331316967575,0.10203911815847756,2026-02-19,2026-04-16,141487,107079,0.5189876101691322,0.31847514451946696,0.9315261748389977,0.3387095544394037,0.3312681704744795,'-0.06958567099641966,'-0.06613519055460972,0.7168490524340557,0.6130806000208375,0.4109718940102646,0.6073216262640726,0.1331168831168831,4.597620784477416
2/11/2026,127.34,160,89,4920432.852209708,2108934.306137564,146178726.8854057,'-27715808.05465002,0.22924359922765214,0.1042749427642133,2026-02-19,2026-04-16,71344,43932,0.47782574568288855,0.5055768005098789,0.9136323767023159,2.3331370910368943,5.274200434537955,'-0.11974939128963201,'-0.09657871271608821,0.7074194097959853,0.7281019279343701,0.5723319764980215,0.5435345439718877,0.06840390879478826,5.852205990226769
2/10/2026,118.38,132,82,2964957.383293905,4088402.931579828,106923721.42747109,'-51934236.55552547,0.1350506245740444,0.05772079072144328,2028-12-14,2026-04-16,44815,32277,0.3061028673435234,0.18979459057533227,0.912675477550804,0.725211637138758,2.058829175493003,'-0.048189297734279185,'-0.03986591890153322,0.6528504841427225,0.7238074358416273,0.529041887007594,0.07228977023792756,0.38,5.408339598240979
