Trade Date,Previous Close,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Call Gamma,Put Gamma,Call Delta,Put Delta,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5d % DPI Volume
3/9/26,130.22,130,85,135,145,100,'-49987128,'-37319035,'-2574924089,1296251848,0.1545,0.0253,3/20/26,5/15/26,17244,16085,0.3236,0.2722,0.778,1.0721,1.3395,'-1.9864,'-0.00577859,'-0.01449509,0.7179,0.6209,0.3681,0.0821,0.6627,5.103427255,49.480000000000000,0.1906,
3/6/26,134.79,145,85,120,145,100,'-55969795,'-33319364,'-2895524034,1069404536,0.1202,0.0832,3/20/26,6/18/26,31215,17186,0.3137,0.2199,0.7589,1.8163,1.6798,'-2.7076,'-0.03953739,'-0.12447505,0.7266,0.5953,0.3291,0.082,0.0482,5.064728082,60.050000000000000,0.4635,
3/5/26,129.65,130,85,120,145,100,'-53690642,'-33918584,'-2476973521,1147025135,0.119,0.0857,3/20/26,5/15/26,30169,14188,0.3606,0.2184,0.7453,2.1264,1.5829,'-2.1595,'-0.1877074,'-0.09956484,0.8051,0.5745,0.2973,0.0826,0.0843,4.70137758,47.99,0.3451,
3/4/26,122,130,85,120,145,100,'-45407636,'-35862861,'-1963733555,1333514182,0.1092,0.0464,3/20/26,5/15/26,22278,15058,0.3478,0.1565,0.75,1.4795,1.2661,'-1.4726,'-0.15395725,'-0.12911184,0.7934,0.608,0.3485,0.0816,0.0442,4.681941552,42.17,0.3997,
3/3/26,119.37,110,85,118,145,100,'-41414150,'-34549891,'-1799306737,1364111838,0.0962,0.0207,3/20/26,5/15/26,9443,11554,0.327,0.2865,0.7482,0.8173,1.1987,'-1.319,'-0.09975979,'-0.1227863,0.8091,0.5929,0.3254,0.0817,0.0522,4.467239349,37.330000000000000,0.1276,
3/2/26,120.68,130,85,135,145,100,'-41281561,'-34033899,'-1842741733,1337355755,0.0855,0.0259,3/20/26,5/15/26,11153,12308,0.4312,0.2616,0.7456,0.9062,1.213,'-1.3779,'-0.11285373,'-0.06486299,0.8362,0.5766,0.3005,0.0821,0.2329,4.392103011,38.18,0.1113,
2/27/26,125.96,130,85,122,145,100,'-54328036,'-38302787,'-2248551671,1210592488,0.1996,0.0822,2/27/26,5/15/26,16964,15621,0.3035,0.4352,0.7412,1.086,1.4184,'-1.8574,'-0.04653766,'-0.04488999,0.8276,0.5636,0.2807,0.0811,0.3655,4.480909929,49.15,0.1673,
2/26/26,120.23,120,85,120,145,100,'-47242351,'-38896246,'-1906453452,1381260433,0.1965,0.0161,2/27/26,5/15/26,18318,13030,0.3736,0.2084,0.7451,1.4058,1.2146,'-1.3802,'-0.02702703,0.01403263,0.8086,0.5701,0.2906,0.0803,0.8715,4.326397968,35.66,0.1248,
2/25/26,116.93,120,85,120,145,100,'-42600097,'-36463225,'-1733453000,1436710238,0.1724,0.1576,3/20/26,5/15/26,17800,7747,0.3362,0.2511,0.7342,2.2977,1.1683,'-1.2065,'-0.0844609,'-0.00433802,0.82,0.5763,0.3,0.2519,0.755,4.253409013,36.13,0.3978,
2/24/26,117.28,120,85,110,145,100,'-40891171,'-35594327,'-1732037685,1417331987,0.1541,0.1503,3/20/26,5/15/26,22985,18352,0.3591,0.3849,0.7403,1.2525,1.1488,'-1.222,'-0.12018531,'-0.08513017,0.8423,0.6261,0.3761,0.4367,0.1285,4.634791896,45.050000000000000,0.4552,
