Trade Date,Previous Close,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Call Gamma,Put Gamma,Call Delta,Put Delta,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5d % DPI Volume
3/9/26,18.9,20,20,18,20,17,'-274670175,'-154708210,'-2012998018,1390733999,0.1139,0.0306,3/20/26,1/15/27,463477,101042,0.2473,0.4152,0.5948,4.587,1.7754,'-1.4474,'-0.02658827,'-0.08871081,0.5711,0.7113,0.3706,0.1642,0.112,0.848549517,44.33,0.3156,
3/6/26,19.25,20,20,18,20,17,'-360451168,'-181396771,'-2100766566,1412796431,0.2056,0.0937,3/20/26,1/15/27,739121,123196,0.0836,0.3412,0.5758,5.9996,1.9871,'-1.487,0.01732975,'-0.10433728,0.5878,0.6594,0.2928,0.175,0.092,0.801202424,39.71,0.5709,
3/5/26,18.7,20,1,18,19,17,'-291738374,'-166951034,'-1843714789,1435394550,0.1994,0.0905,3/20/26,1/15/27,251632,80854,0.2698,0.3162,0.6067,3.1122,1.7474,'-1.2845,0.03462973,'-0.10208562,0.5746,0.6377,0.2602,0.18,0.092,0.752697721,42.85,0.5272,
3/4/26,18.61,20,1,18,19,17,'-269356304,'-154035581,'-1791919328,1449821567,0.1758,0.0684,3/20/26,1/15/27,260969,94461,0.2987,0.3002,0.6079,2.7627,1.7487,'-1.236,'-0.08826159,'-0.11177007,0.5875,0.6576,0.2901,0.1946,0.088,0.772450672,35.76,0.588,
3/3/26,18.41,19,1,18,19,17,'-240783163,'-159372816,'-1650703441,1463212002,0.1561,0.0365,3/20/26,1/15/27,275043,113885,0.395,0.3875,0.6114,2.4151,1.5108,'-1.1281,'-0.12931492,'-0.12480858,0.5992,0.653,0.2832,0.2104,0.06,0.758803888,36.76,0.1977,
3/2/26,17.77,19,1,18,19,17,'-198936227,'-148891467,'-1484264597,1463523174,0.1116,1.8519,3/20/26,1/15/27,499024,237445,0.1339,0.215,0.6178,2.1016,1.3361,'-1.0142,'-0.06500754,'-0.11590095,0.5735,0.6704,0.3093,0.2127,0.068,0.751941425,44.25,0.1372,
2/27/26,19.09,20,1,18.5,20,18,'-249576571,'-170633327,'-1684109300,1428756891,0.2533,0.0128,2/27/26,1/15/27,153563,92433,0.398,0.3865,0.6558,1.6613,1.4626,'-1.1787,'-0.06708902,'-0.08248456,0.5414,0.5989,0.202,0.1598,0.1,0.721643691,49.08,0.1759,
2/26/26,19.3,20,20,18,20,18,'-236061035,'-158160390,'-1718502626,1443347663,0.2294,0.005,3/20/26,1/15/27,290963,116375,0.3735,0.32,0.6547,2.5002,1.4925,'-1.1906,'-0.1035014,'-0.12156672,0.5413,0.6153,0.2266,0.1739,0.06,0.749560689,46.08,0.1624,
2/25/26,18.66,20,1,18,20,18,'-192724607,'-152698492,'-1510958301,1452852808,0.1845,0.7925,3/20/26,1/15/27,174719,103485,0.3557,0.3687,0.6557,1.6884,1.2621,'-1.04,'-0.13756688,'-0.11540851,0.5267,0.6438,0.2694,0.1756,0.064,0.758272297,36.98,0.62,
2/24/26,18.22,18,1,18,20,18,'-163930664,'-137211476,'-1408394202,1429884233,0.1493,2.93,3/20/26,1/15/27,264312,138550,0.3546,0.3168,0.6549,1.9077,1.1947,'-0.985,'-0.16986882,'-0.13025019,0.5189,0.6595,0.2929,0.1844,0.056,0.758447895,47.32,0.6132,
2/23/26,19.02,20,1,19,25,18,'-157224658,'-132242889,'-1483324984,1391192191,0.1326,0.7685,3/20/26,1/15/27,188801,113449,0.3082,0.2884,0.6601,1.6642,1.1889,'-1.0662,'-0.14814815,'-0.14431463,0.501,0.6077,0.2152,0.1759,0.04,0.729562204,43.24,0.6357,
2/20/26,19.3,20,1,19.5,25,19,'-185906856,'-175575149,'-1554484100,1622569754,0.2437,2.8782,2/20/26,1/15/27,164935,127471,0.3072,0.2178,0.6383,1.2939,1.0588,'-0.958,0.01585953,'-0.11498029,0.5058,0.6088,0.2169,0.1888,0.056,0.741642366,40.83,0.7599,
2/19/26,19.54,20,1,19.5,25,19,'-193619870,'-166866539,'-1632641947,1590228663,0.2628,4.4289,2/20/26,1/15/27,194722,75386,0.3,0.3894,0.6327,2.583,1.1603,'-1.0267,'-0.12027951,'-0.09835515,0.5189,0.5958,0.1974,0.2028,0.064,0.734831282,39.05,0.6104,
2/18/26,19.51,20,1,20,30,18,'-169635410,'-152225087,'-1590553191,1631246027,0.2266,5.658,2/20/26,1/15/27,179291,148316,0.3654,0.4453,0.6446,1.2088,1.1144,'-0.9751,'-0.0804684,'-0.07543831,0.5301,0.6217,0.2362,0.2195,0.092,0.765597867,34.79,0.5701,
2/17/26,19.62,20,1,21,25,19,'-158484719,'-151662831,'-1586104711,1675716539,0.2488,3.2963,2/20/26,1/15/27,140098,78015,0.3534,0.3856,0.6581,1.7958,1.045,'-0.9465,'-0.13227415,'-0.07808011,0.5039,0.5917,0.1912,0.2309,0.084,0.732762356,39.84,0.6745,
2/13/26,19.31,20,1,21,25,19,'-172459304,'-176893510,'-1562340262,1747916716,0.158,0.2902,2/20/26,1/15/27,206760,124833,0.2619,0.356,0.6457,1.6563,0.9749,'-0.8938,'-0.05963655,'-0.04661221,0.4918,0.6243,0.2401,0.2428,0.184,0.760918576,44.09,0.6452,
2/12/26,20.57,20,1,24,30,19,'-199565368,'-197004253,'-1808748895,1712418573,0.1503,0.5841,2/20/26,1/15/27,142648,89764,0.3552,0.359,0.6673,1.5891,1.013,'-1.0563,'-0.14368398,'-0.07610169,0.4762,0.59,0.1887,0.213,0.084,0.766035473,38.81,0.6325,
2/11/26,21.17,22,1,21,30,19,'-214620570,'-197424781,'-1954420669,1654318514,0.1431,0.1417,2/20/26,6/18/26,149555,70716,0.3656,0.4282,0.666,2.1149,1.0871,'-1.1814,'-0.03259587,'-0.0182102,0.4846,0.5766,0.1686,0.2183,0.288,0.770474153,38.56,0.8293,
2/10/26,21.35,22,1,24,30,19,'-209041570,'-194041387,'-1975517057,1643346409,0.1336,0.1234,2/20/26,6/18/26,248165,77911,0.316,0.4664,0.6712,3.1852,1.0773,'-1.2021,'-0.03869654,'-0.04210526,0.4977,0.5795,0.1729,0.2332,0.196,0.78093322,40.39,0.4019,
