Trade Date,Previous Close,Low Vol Point,High Vol Point,Call Gamma,Put Gamma,Call Delta,Put Delta,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move
2/24/2026,682.39,875,689,1143376593.0054057,'-5268220699.297293,'-49323353516.4394,30169682658.19541,0.06763193197752301,0.005929006814441174,2026-03-19,2026-09-17,1622451,1991545,0.40108206657704915,0.29112472979520926,1.6528140083780094,0.21703278170520005,1.63486484346699,'-0.19116861807939442,'-0.4251983017931139,0.12438230564730075,0.17983004136633599,0.20865214427242046,0.09997326064477075,0.02469135802469136,7.745642992360916
2/23/2026,689.43,875,681,2256999458.457586,'-5938657974.132124,'-45353848819.11195,27050730297.03935,0.07560931135074005,0.005898529163304197,2026-02-26,2026-09-17,1301084,2324717,0.388155568741142,0.3276274058304731,1.6781596282518279,0.3800521040761611,1.6766219736431975,'-0.40955025240767823,'-0.44143967528782446,0.1205057182551471,0.15854930427361072,0.17820566520459422,0.08634720077290338,0.009554140127388535,6.899491690043265
2/20/2026,684.51,526,696,2665392255.662509,'-5375954510.491642,'-47574979919.05231,28651509055.94556,0.19269368569594086,0.05152369309282866,2026-03-19,2026-09-17,1411374,2320169,0.4539895165987187,0.3981908214444724,1.7776456776917982,0.4957988856603538,1.660470302843608,'-0.2409789395479683,'-0.41635100511861295,0.13815965583945708,0.17515632945628481,0.22623333606448923,0.08944157074336552,0.019169329073482427,7.56777498429095
2/19/2026,686.29,865,696,2231534223.305294,'-5144831457.820362,'-45989558187.66235,27556054314.11991,0.05270671136502397,0.0038726717168063155,2026-03-19,2026-09-17,1424522,2212495,0.34107019758206614,0.2626912151213901,1.7745236855088071,0.4337429207546279,1.668945693872326,'-0.31635789095005906,'-0.40091656650436247,0.14136252933709365,0.16510730317899963,0.1971714588649886,0.09998439963835236,0.032051282051282055,7.152148652320624
2/18/2026,682.85,865,696,2153754257.052192,'-4505053137.962168,'-47684897679.23108,28265656726.777893,0.022809777358416543,0.002870621948758657,2026-03-19,2026-09-17,1552257,2099781,0.3479958537793677,0.33005680116164493,1.7815657609750046,0.47807521711640216,1.6870259955451903,'-0.21469542456590984,'-0.3751320751438109,0.14363352297160134,0.17113387719634,0.18247403524473313,0.11008559130274173,0.07407407407407407,7.376050498233969
2/17/2026,681.6,508,695,1624280187.4840233,'-4725155356.397395,'-48673654903.2675,29628450089.31357,0.06578369208813944,0.00710778998441361,2026-03-19,2026-09-17,1555897,2132385,0.36793566669258954,0.2600107391488873,1.8035803761650313,0.3437517002028109,1.6428012520581758,'-0.29050326266660914,'-0.3592826929125256,0.13750955256142977,0.17623542070760936,0.22935407797198495,0.1251331258266456,0.07419354838709677,7.582027567651743
2/13/2026,681.22,536,691,547984344.2866123,'-4995173132.229955,'-49527741957.06451,30419609225.599525,0.14824448820930852,0.02007733078232506,2026-02-12,2026-09-17,2100642,3098997,0.4987375288126201,0.3876512303819591,1.8417041495269721,0.10970277301319084,1.6281518145007792,'-0.11321762951146831,'-0.3323406778708385,0.13748129145163834,0.16929045539761178,0.20926917388031524,0.1421344180882979,0.13915857605177992,7.279179702452889
2/12/2026,691.92,536,687,2093096552.0474184,'-5816385851.325006,'-44158374819.98867,25885947915.307365,0.05245916601730611,0.00410355884064309,2026-03-19,2026-09-17,1450855,2057776,0.4102070847879354,0.3175350475464774,1.871744260994801,0.35986205275060956,1.7058820856962364,'-0.27528089052218047,'-0.32298616332524477,0.12747526555493505,0.14424432505139323,0.136835532614016,0.10437711397839888,0.17207792207792205,6.299661262990595
2/11/2026,692.11,532,688,2115724269.019473,'-6411289074.982846,'-44114985299.576004,26727538337.190586,0.1027504740645232,0.008517614488211917,2026-02-10,2026-09-17,1127531,1662633,0.4763008733241037,0.36667923708960426,1.8744117108412957,0.3299998244152068,1.6505442717181065,'-0.33235979657799325,'-0.3216652341851882,0.13062230754711407,0.14517675564814583,0.13953213054819932,0.11893957264230258,0.17589576547231267,6.3421248722867025
2/10/2026,693.91,521,698,1953116127.4600234,'-6293078650.616881,'-43337863112.73783,25198261630.908527,0.12349499823903537,0.007279075657761246,2026-02-09,2026-09-17,1314496,1853887,0.4025748271580895,0.3389516189498065,1.8651136068635328,0.31035940211371243,1.7198751147015245,'-0.32644324215111004,'-0.29736055985409365,0.13370002594034588,0.1420347188995534,0.09487668500892657,0.1290250885452231,0.336,6.221000554919467
