Trade Date,Previous Close,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Call Gamma,Put Gamma,Call Delta,Put Delta,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5d % DPI Volume
2/24/2026,682.39,675,750,685,700,675,'-2001164473,'-3521418884,'-81256940476,123255449567,0.1286,0.0278,2026-03-20,2026-09-18,1622451,1991545,0.4011,0.2911,1.9002,0.8147,0.5683,'-0.6593,'-0.19269995,'-0.42603878,0.126,0.1805,0.2124,0.0998,0.024,7.7744994635,54.87,0.2787,
2/23/2026,689.43,690,750,690,700,675,'-2363889259,'-3197820244,'-92212429050,100449179265,0.1509,0.0791,2026-03-20,2026-09-18,1301084,2324717,0.3882,0.3276,1.9356,0.5597,0.7392,'-0.918,'-0.39511202,'-0.4369483,0.1173,0.1586,0.1458,0.0863,0.016,6.9016977845,66.63,0.2994,
2/20/2026,684.51,690,500,685,700,675,'-2303801012,'-3899577152,'-91829264078,124353157871,0.3038,0.0625,2026-02-20,2026-09-18,1411374,2320169,0.454,0.3982,2.0507,0.6083,0.5908,'-0.7385,'-0.23377863,'-0.41547278,0.1213,0.1745,0.1942,0.0894,0.024,7.5394177239,51.27,0.281,
2/19/2026,686.29,690,500,688,700,675,'-2558418204,'-3726883195,'-96563709716,113310293046,0.1069,0.0168,2026-02-20,2026-09-18,1424522,2212495,0.3411,0.2627,2.0474,0.6439,0.6865,'-0.8522,'-0.32095006,'-0.4030303,0.1239,0.165,0.1652,0.0998,0.036,7.1475004734,41,0.2861,
2/18/2026,682.85,690,500,685,700,675,'-2253123745,'-3645123319,'-90969567839,118800747286,0.0919,0.0028,2026-02-20,2026-09-18,1552257,2099781,0.348,0.3301,2.0651,0.7392,0.6181,'-0.7657,'-0.20496224,'-0.37008798,0.1262,0.1705,0.182,0.1101,0.076,7.3487297229,40.77,0.2326,
2/17/2026,681.6,690,750,685,700,675,'-1920815521,'-3732844562,'-81786046029,133876808451,0.1083,0.0489,2026-02-20,2026-09-18,1555897,2132385,0.3679,0.26,2.1082,0.7297,0.5146,'-0.6109,'-0.28214826,'-0.36136364,0.1402,0.176,0.1987,0.1251,0.084,7.5718992615,44.89,0.2528,
2/13/2026,681.22,685,750,690,700,675,'-2201498549,'-3965779384,'-86459075063,127318881880,0.202,0.0935,2026-02-20,2026-09-18,2100642,3098997,0.4987,0.3877,2.1551,0.6778,0.5551,'-0.6791,'-0.0987013,'-0.33136444,0.1408,0.1693,0.1783,0.142,0.152,7.2795901029,59.21999999999999,0.2722,
2/12/2026,691.92,690,750,690,700,685,'-2862039304,'-3653552865,'-102334382069,95659940246,0.1332,0.1132,2026-02-20,2026-03-20,1450855,2057776,0.4102,0.3175,2.2094,0.7051,0.7834,'-1.0698,'-0.26984127,'-0.31400966,0.1305,0.1449,0.1041,0.1042,0.228,6.3282969135,57.74,0.2479,
2/11/2026,692.11,690,750,694,700,690,'-2896744518,'-3697018755,'-104167392195,96092313085,0.1723,0.0329,2026-02-20,2026-03-20,1127531,1662633,0.4763,0.3667,2.2152,0.6782,0.7835,'-1.084,'-0.30614973,'-0.31444368,0.1338,0.1447,0.1035,0.1188,0.224,6.3212975447,51.28,0.2909,
2/10/2026,693.91,690,700,694,700,685,'-3170592744,'-3529314531,'-111278856306,89849380622,0.1659,0.1515,2026-02-20,2026-03-20,1314496,1853887,0.4026,0.339,2.1996,0.709,0.8984,'-1.2385,'-0.33070866,'-0.30014025,0.1372,0.1426,0.0971,0.1328,0.316,6.245759389,46.589999999999996,0.2706,
