Trade Date,Previous Close,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Call Gamma,Put Gamma,Call Delta,Put Delta,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5d % DPI Volume
3/9/26,672.49,690,800,680,700,660,'-1797154653,'-3451279749,'-83796028675,1.62533E+11,0.1005,0.0307,3/20/26,12/17/27,1824736,2534474,0.3446,0.2991,2.0131,0.72,0.5207,'-0.5156,'-0.2510781,'-0.51566046,0.1363,0.2203,0.3335,0.1074,0.004,9.351104399,57.71,0.1591,
3/6/26,681.31,680,800,681,700,680,'-2250204399,'-4024137387,'-90472312188,1.46184E+11,0.2121,0.1533,3/20/26,12/17/27,2288220,3231214,0.4487,0.352,2.0175,0.7082,0.5592,'-0.6189,'-0.21142857,'-0.50270856,0.13,0.1846,0.2249,0.0785,0.008,7.938510762,62.35,0.323,
3/5/26,685.13,690,750,686,700,680,'-2558528604,'-3628510987,'-98109516665,1.15042E+11,0.109,0.0559,3/20/26,12/17/27,1296207,2280546,0.3933,0.2821,2.0176,0.5684,0.7051,'-0.8528,'-0.32202447,'-0.5045427,0.1319,0.1651,0.1656,0.081,0.004,7.139743925,56.81,0.2933,
3/4/26,680.28,690,750,681,700,675,'-2105112811,'-3558127681,'-87132167593,1.32504E+11,0.1148,0.0001,3/20/26,12/17/27,2093017,3003126,0.3135,0.2548,1.987,0.6969,0.5916,'-0.6576,'-0.23242275,'-0.49188312,0.1322,0.1848,0.2255,0.0833,0.008,7.935097141,57.27,0.2834,
3/3/26,686.37,690,750,690,700,675,'-2193582172,'-3516620633,'-89298770543,1.16884E+11,0.1428,0.0468,3/20/26,12/17/27,1327269,2933297,0.3622,0.3687,2.052,0.4525,0.6238,'-0.764,'-0.34548422,'-0.49940688,0.1324,0.1686,0.1762,0.0731,0.004,7.304297292,56.54,0.2988,
3/2/26,686.28,675,750,688,700,675,'-1948698840,'-3353359256,'-84418243982,1.13727E+11,0.1165,0.0521,3/20/26,12/17/27,1288040,2020343,0.3592,0.2682,2.0675,0.6375,0.5811,'-0.7423,'-0.28937161,'-0.48916409,0.1276,0.1615,0.1546,0.0844,0.004,6.995784889,60.8,0.1601,
2/27/26,689.32,690,750,690,700,675,'-2651077799,'-3740822546,'-94477169014,1.00956E+11,0.2797,0.0677,2/27/26,9/18/26,1702595,2614571,0.4737,0.4004,2.076,0.6512,0.7087,'-0.9358,'-0.214791,'-0.45791246,0.1268,0.1485,0.115,0.0906,0.008,6.461151297,53.52,0.3192,
2/26/26,693.1,690,750,692,700,690,'-2789891629,'-3489015692,'-103341937980,94572791975,0.138,0.1131,2/27/26,3/20/26,1056793,2389969,0.3769,0.1953,2.159,0.4422,0.7996,'-1.0927,'-0.32697701,'-0.44008264,0.1263,0.1452,0.105,0.095,0.016,6.352213596,64.34,0.3456,
2/25/26,687.35,690,750,690,700,675,'-2314482647,'-3466478984,'-89975875213,1.06574E+11,0.1285,0.045,3/20/26,9/18/26,1221734,1883103,0.3951,0.2976,1.9514,0.6488,0.6677,'-0.8443,'-0.27968176,'-0.4375,0.1259,0.1616,0.1549,0.0957,0.016,7.011030739,57.78,0.3029,
2/24/26,682.39,675,750,685,700,675,'-2001164473,'-3521418884,'-81256940476,1.23255E+11,0.1286,0.0278,3/20/26,9/18/26,1622451,1991545,0.4011,0.2911,1.9002,0.8147,0.5683,'-0.6593,'-0.19269995,'-0.42603878,0.126,0.1805,0.2124,0.0998,0.024,7.774499464,54.87,0.2787,
2/23/26,689.43,690,750,690,700,675,'-2363889259,'-3197820244,'-92212429050,1.00449E+11,0.1509,0.0791,3/20/26,9/18/26,1301084,2324717,0.3882,0.3276,1.9356,0.5597,0.7392,'-0.918,'-0.39511202,'-0.4369483,0.1173,0.1586,0.1458,0.0863,0.016,6.901697785,66.63,0.2994,
